uuid,released,title,duration
a2ubYY,2025-12-06,Forbidden Desires,202.2
DB0di4,2025-12-06,Saffron Winds,249.96
IAa9x1,2025-12-06,Dunes of Time,208.04
2PeaRM,2025-12-06,Silk & Smoke,194.0
m6zlsw,2025-12-06,Soulfire,166.64
FsJIH9,2025-12-06,Hypnotic Sands,180.96
T5sVwn,2025-12-08,Veil of Echoes,157.88
3LiA9B,2025-12-08,A Love Deferred,197.0
YeQZ65,2025-12-08,Sands of Desire,186.08
WDPnvU,2025-12-11,Sacred Whispers,289.0
PLwI3x,2025-12-11,Echoes of Absence,219.36
UMhWwS,2025-12-11,Sacred Light,207.64
EryIb5,2025-12-22,Omen Whispers,212.28
70wQMx,2025-12-24,Lingering Touch,194.92
600TNZ,2025-12-26,Desert Mirage,229.28
lb9x1S,2026-01-03,風の調べ (Melody of the Wind),192.08
poGKhK,2026-01-06,幻影の囁き (Whispers of a Phantom),192.76
WfXbGy,2026-01-09,満月の光が (By the Light of the Full Moon),223.22
A9fK2Q,2026-01-23,Redline After Dark,90.44
wctvNh,2026-02-14,Velvet Mirage,253.8
